id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33015887,Detached Rear Yard Garden Cottage,46079176,Nick,,Castro/Upper Market,37.76022,-122.42839,Entire home/apt,250,2,26,2020-01-30,2.81,1,127
33017026,City and Nature,110003688,Silvia,,Outer Richmond,37.78711,-122.48559,Private room,56,31,1,2019-09-14,0.20,2,91
33021274,Key Union Square Location -Great Hotel Style Suite,70722023,Michael,,Financial District,37.79002,-122.40622,Entire home/apt,60,2,3,2019-11-22,0.54,53,5
33021614,Cozy Garden Level Studio Apartment,57045955,Philip,,Noe Valley,37.74723,-122.43024,Entire home/apt,129,1,48,2020-01-16,4.47,1,298
33021652,Outstanding Hotel Style Suite in Union Square,70722023,Michael,,Financial District,37.79028,-122.40629,Entire home/apt,60,2,3,2020-01-16,0.29,53,3
33022608,Downtown Great location - With FREE Parking,248548754,Pradip,,South of Market,37.78782,-122.38909,Entire home/apt,270,30,0,,,1,365
33023017,Bernal Heights' secluded apartment,64983136,Rachelle,,Bernal Heights,37.73969,-122.41414,Entire home/apt,220,5,9,2019-08-25,0.82,1,0
33023168,Miraloma Park 4 Bedroom - Family Friendly,1415579,Amelie,,West of Twin Peaks,37.73485,-122.45057,Entire home/apt,375,3,0,,,1,0
33023471,Downtown Great location - With FREE Parking,2677559,Pradip,,South of Market,37.7895,-122.38909,Entire home/apt,260,30,0,,,1,365
33023592,Beautiful modern 1-bedroom apt in heart of Mission,21620,Leemor,,Mission,37.75471,-122.42443,Entire home/apt,175,30,2,2019-12-23,0.30,1,180
33050224,Brand new modern apartment in Portola,248760206,Audrey,,Excelsior,37.72813,-122.42257,Entire home/apt,94,30,1,2019-06-28,0.13,1,178
33054428,"Sunny Nob Hill 2BR w/ W/D, Lounge, Walk to Restaurants by Blueground",107434423,Blueground,,Nob Hill,37.79099,-122.41397,Entire home/apt,224,30,0,,,237,0
33054543,"Enviable South Beach 2BR w/ Pools, Cinema, Spas, at the Bay by Blueground",107434423,Blueground,,South of Market,37.78447,-122.38906,Entire home/apt,250,30,0,,,237,239
33069292,BEAUTIFUL BOUTIQUE HOTEL-sleeps 2-free breakfast!,64646820,Michelle,,Downtown/Civic Center,37.77827,-122.42296,Private room,179,1,9,2020-02-04,0.97,38,31
33078270,Cozy Bedroom + Private Bathroom near SFO Airport,248954799,Winnie Sau,,Visitacion Valley,37.7134,-122.40999,Private room,100,2,39,2020-02-05,5.63,3,109
33079877,Relaxing Mission District Bedroom,29483318,James,,Mission,37.74974,-122.40728,Private room,60,30,1,2019-08-17,0.17,1,9
33083892,"Modern SoMa 1BR w/ Gym, Garden, EV Charging by Tech HQs, by Blueground",107434423,Blueground,,South of Market,37.77336,-122.4088,Entire home/apt,197,30,1,2019-08-17,0.17,237,281
33091231,FANTASTIC LOCATION-THE DONATELLO IN UNION SQUARE,64646820,Michelle,,Downtown/Civic Center,37.78902,-122.40977,Private room,199,1,13,2019-12-12,1.26,38,18
33098113,SF 2BR near Nightlife and Parks,48005494,Zeus,,Nob Hill,37.79391,-122.41977,Entire home/apt,232,30,0,,,281,319
33098182,2BR Apartment in Hip Polk Gulch,48005494,Zeus,,Nob Hill,37.79293,-122.41983,Entire home/apt,220,30,0,,,281,309
33115200,Ashbury Heights 1 BR Garden Apartment,174219801,Michael,,Haight Ashbury,37.76659,-122.44476,Entire home/apt,120,30,1,2019-09-28,0.22,1,252
33115368,SOMA Condo,1747847,Karina,,South of Market,37.77463,-122.4,Entire home/apt,210,30,0,,,1,0
33134275,Castro Villa Verde,241554551,Megumi,,Castro/Upper Market,37.7623,-122.43255,Entire home/apt,250,1,70,2020-01-30,6.80,1,213
33135588,Inner Sunset Private Studio|Walk to UCSF & GGPark,849360,Shannon,,Inner Sunset,37.76162,-122.46131,Entire home/apt,169,2,25,2020-01-25,3.02,1,127
33137304,"Light Filled Flat, Modern Design, Mission/Dolores",2446457,Heather,,Mission,37.75106,-122.42375,Entire home/apt,220,30,2,2019-11-30,0.43,2,63
33141021,Beautiful and cozy house near Golden Gate Park,94430661,Ekaterina,,Outer Sunset,37.76042,-122.48197,Entire home/apt,170,3,6,2019-11-04,0.59,2,4
33143025,Beautiful furnished apartment in central location,4624470,Sri,,Haight Ashbury,37.77517,-122.44507,Entire home/apt,210,60,0,,,3,212
33166972,Beautiful castro garden studio,1753794,Ashish,,Castro/Upper Market,37.76449,-122.43632,Entire home/apt,109,30,90,2019-12-16,8.36,4,15
33172422,Bright Private Room A2. Long term stays welcome!,20744675,Eric,,Bayview,37.73289,-122.39297,Private room,58,30,3,2019-12-04,0.50,4,259
33172768,Fleurs et chambre paisley SF | Valencia + Market,221525713,StellaMaris,,South of Market,37.77229,-122.42202,Private room,75,2,24,2020-01-19,3.48,4,157
33179592,"Charming 2BR in South Beach w/ pools, spa right by SF Bay by Blueground",107434423,Blueground,,South of Market,37.78366,-122.38918,Entire home/apt,225,30,0,,,237,351
33185972,GREAT LOCATION -FISHERMAN'S WHARF-2 bedrooms,64646820,Michelle,,Russian Hill,37.80517,-122.42016,Entire home/apt,252,1,12,2020-02-07,1.43,38,18
33193799,CHARMING HOUSE WITH SAN FRANCISCO VIEW,249898392,Aline,,Crocker Amazon,37.70837,-122.43532,Entire home/apt,395,1,1,2019-08-13,0.16,1,10
